Qualification Match Schedule,,,,,,,,
,,,,,,,,
ISR District Event #4,,,,,,,,
Matches Per Team,,10,,,,,,
Time,Description,Match,Blue 1,Blue 2,Blue 3,Red 1,Red 2,Red 3
Thu 12:00,Qualification 1,1,1937,4661,3388,5636,1943,4649
Thu 12:10,Qualification 2,2,5951,6741,4757,6736,5614,2231
Thu 12:20,Qualification 3,3,5747,3339,4590,5635,6104,2212
Thu 12:30,Qualification 4,4,1576,4338,6149,5987,2679,2630
Thu 12:40,Qualification 5,5,5273,5951,2212,3388,1690,6739
Thu 12:50,Qualification 6,6,5747,5987,2231,5636,4338,1937
,Lunch,,,,,,,
Thu 1:45,Qualification 7,7,6736,5635,3339,5614,1576,6739
Thu 1:55,Qualification 8,8,4757,2630,4649,2679,6104,4590
Thu 2:05,Qualification 9,9,1943,1690,5273,6741,6149,4661
Thu 2:15,Qualification 10,10,6739,4590,5951,5636,5614,2212
Thu 2:25,Qualification 11,11,6104,5747,4661,6736,2630,3388
Thu 2:35,Qualification 12,12,1690,4757,6149,1937,4649,3339
Thu 2:45,Qualification 13,13,2679,4338,1943,1576,2231,6741
Thu 2:55,Qualification 14,14,5987,1937,6736,5635,5273,2630
Thu 3:05,Qualification 15,15,6149,4590,1943,5636,5747,1690
Thu 3:15,Qualification 16,16,5987,1576,5951,4661,2679,3339
Thu 3:25,Qualification 17,17,3388,5273,2231,5614,4757,5635
Thu 3:35,Qualification 18,18,4649,6739,2212,6104,6741,4338
Thu 3:45,Qualification 19,19,4757,6736,5747,5635,5951,6149
Thu 3:55,Qualification 20,20,2679,5636,6739,1690,6741,3339
Thu 4:05,Qualification 21,21,5614,6104,3388,1576,4661,5273
Thu 4:15,Qualification 22,22,2630,2212,4590,1943,1937,2231
Thu 4:25,Qualification 23,23,5987,4338,5273,4649,6149,6104
Thu 4:35,Qualification 24,24,5636,6736,1576,6739,5747,1943
Thu 4:45,Qualification 25,25,1690,5635,4649,2679,2231,5951
Thu 4:55,Qualification 26,26,6741,1937,4590,3339,3388,5987
Thu 5:05,Qualification 27,27,4661,2630,5614,4757,2212,4338
Thu 5:15,Qualification 28,28,6149,3339,5273,5747,5951,4649
,Dinner,,,,,,,
Thu 6:00,Qualification 29,29,5635,6739,4338,4757,1943,4661
Thu 6:10,Qualification 30,30,5636,2630,6104,2679,6736,6741
Thu 6:20,Qualification 31,31,2231,1690,2212,5987,5614,4590
Thu 6:30,Qualification 32,32,1576,1937,6104,3388,5636,5951
Thu 6:40,Qualification 33,33,5614,2679,1690,5987,1943,5635
Thu 6:50,Qualification 34,34,6741,6739,2630,1937,5273,5747
Thu 7:00,Qualification 35,35,4590,4649,2231,4338,4661,6736
Fri 8:30,Qualification 36,36,3388,2212,6149,3339,4757,1576
Fri 8:40,Qualification 37,37,2679,5635,5747,4661,6739,2231
Fri 8:50,Qualification 38,38,5636,5987,6741,4590,5273,4757
Fri 9:00,Qualification 39,39,1690,6736,5951,4649,3388,1576
Fri 9:10,Qualification 40,40,5614,3339,4338,2630,6149,1937
Fri 9:20,Qualification 41,41,6104,2231,4757,2212,1943,6736
Fri 9:30,Qualification 42,42,5273,4649,5614,2630,1576,5747
Fri 9:40,Qualification 43,43,4661,5636,5635,1937,2679,2212
Fri 9:50,Qualification 44,44,1943,3388,6741,6739,5987,6149
Fri 10:00,Qualification 45,45,6104,5951,3339,1690,4590,4338
,,,,,,,,
